"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Chittoor","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-12","2023","02","0.4431796482","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-13","2023","02","0.0002407691","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-15","2023","02","2.6919E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-02-16","2023","02","1.88434E-5","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-23","2023","02","0.0001284564","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-01","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-02","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-03","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-04","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-05","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-06","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-08","2023","02","4.0483E-6","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-12","2023","02","0.0006265069","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-13","2023","02","0.000335201","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-15","2023","02","4.68709E-5","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-02-16","2023","02","9.37418E-5","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-17","2023","02","0.0042751286","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-18","2023","02","0.0195115977","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-21","2023","02","0.0128821691","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-23","2023","02","0.0175653764","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-01","2023","02","0.1619646677","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-02","2023","02","0.0056189292","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-03","2023","02","0.0001460697","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-04","2023","02","0.0509587588","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-05","2023","02","0.0414341484","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-06","2023","02","0.0489799043","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-08","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-14","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-15","2023","02","0.0003139067","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-02-16","2023","02","0.0583089301","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-17","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-18","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-19","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-20","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-21","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-22","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-23","2023","02","0.0036378501","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-24","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-01","2023","02","0.0978415957","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-02","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-03","2023","02","0.0215130969","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-04","2023","02","0.0061756354","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-05","2023","02","7.9934E-6","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-06","2023","02","7.9934E-6","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-07","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-08","2023","02","6.24095E-5","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-09","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-10","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-11","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-12","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-13","2023","02","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-02-14","2023","02","NA","NRSC VIC MODEL"
